playerID,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note,year
toomaja01,62,0,594,0,0,0,94,0,0,0,213,514,204,264,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1949
wagneda01,11,0,69,0,0,0,18,0,0,0,22,54,19,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1949
budkowa01,64,0,496,0,0,452,135,0,0,0,203,464,165,223,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1950
calabge01,46,0,201,0,0,65,65,0,0,0,80,197,70,88,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1950
cervial01,53,0,458,0,0,152,208,0,0,0,180,346,132,237,194,0,0,7,0,0,78,0,0,33,38,0,0,0,31,56,17,50,44,0,0,,1950
joneswa01,22,0,247,0,0,125,85,0,0,0,74,237,93,77,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1950
jorgeno01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1950
jorgeno01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,50,0,0,21,7,0,0,0,19,43,18,22,14,0,0,,1950
mogusle01,57,0,139,0,0,102,32,0,0,0,60,122,43,86,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1950
pollaji01,54,0,629,0,0,484,184,0,0,0,157,728,256,156,117,0,0,7,0,0,95,0,0,62,27,0,0,0,27,108,35,30,25,0,0,,1950
schnidi01,29,0,293,0,0,153,42,0,0,0,76,219,85,139,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1950
budkowa01,63,1126,254,0,0,232,91,0,0,0,196,240,97,89,60,0,0,3,0,58,16,0,0,12,5,0,0,0,11,14,6,7,4,0,0,,1951
calabge01,58,937,291,0,0,84,83,0,0,0,107,317,109,103,73,0,0,6,0,53,24,0,0,8,4,0,0,0,18,24,10,4,4,0,0,,1951
cervial01,55,850,417,0,0,87,148,0,0,0,176,280,99,248,219,0,0,7,0,88,36,0,0,10,15,0,0,0,23,30,7,23,22,0,0,,1951
joneswa01,58,1320,430,0,0,283,150,0,0,0,137,524,164,136,102,0,0,1,0,8,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0,,1951
jorgeno01,66,1318,529,0,0,288,63,0,0,0,190,460,190,187,149,0,0,7,0,150,61,0,0,27,5,0,0,0,30,52,19,31,23,0,0,,1951
